total_words,words_per_second,approve_location,rep_count,rep_locations,opponent_count,opponent_locations,party_count,party_locations,out_party_count,out_party_locations,trump_count,trump_locations,clip_id,rep,opponent,party,out_party
73,2.43,26.71,0,[],0,[],0,[],0,[],0,[],00028,hillaryscholten,Paul Hudson,Democrat,Republican
74,2.47,18.24,1,[17.16],0,[],0,[],0,[],0,[],00029,hillaryscholten,John Gibbs,Democrat,Republican
76,2.533,22.11,2,"[9.47, 18.95]",2,"[10.53, 16.84]",0,[],1,[2.37],0,[],00030,hillaryscholten,John Gibbs,Democrat,Republican
77,2.57,19.48,1,[1.95],0,[],1,[9.74],1,[12.99],0,[],00031,hillaryscholten,John Gibbs,Democrat,Republican
71,2.37,16.62,1,[15.49],0,[],0,[],0,[],0,[],00032,hillaryscholten,John Gibbs,Democrat,Republican
67,2.23,17.91,1,[3.13],0,[],1,[11.94],1,[13.43],0,[],00033,hillaryscholten,John Gibbs,Democrat,Republican
79,2.63,22.28,1,[21.52],0,[],0,[],0,[],0,[],00034,hillaryscholten,John Gibbs,Democrat,Republican
72,2.4,20.0,0,[],1,[10.0],0,[],0,[],0,[],00035,hillaryscholten,Peter Meijer,Democrat,Republican
66,2.2,25.91,1,[16.36],1,[11.82],0,[],0,[],0,[],00036,hillaryscholten,Peter Meijer,Democrat,Republican
78,2.6,28.85,1,[27.69],2,"[11.15, 25.77]",0,[],0,[],0,[],00038,hillaryscholten,Peter Meijer,Democrat,Republican
73,2.43,27.4,3,"[4.93, 6.58, 27.4]",0,[],0,[],1,[0.41],0,[],00039,hillaryscholten,Peter Meijer,Democrat,Republican
77,2.57,18.44,1,[2.73],0,[],0,[],0,[],0,[],00040,hillaryscholten,Peter Meijer,Democrat,Republican
65,2.17,21.23,1,[19.85],0,[],0,[],0,[],0,[],00041,hillaryscholten,Peter Meijer,Democrat,Republican
71,2.37,25.07,1,[24.23],1,[13.94],0,[],0,[],0,[],00043,carolsheaporter,Frank Guinta,Democrat,Republican
60,2.0,24.5,1,[1.0],1,[13.0],0,[],0,[],0,[],00044,elissaslotkin,Mike Bishop,Democrat,Republican
59,1.97,24.58,3,"[5.08, 10.17, 23.39]",0,[],0,[],0,[],0,[],00046,michellesteel,Harley Rouda,Republican,Democrat
64,2.133,27.5,3,"[9.84, 16.41, 25.31]",0,[],0,[],0,[],0,[],00047,michellesteel,Harley Rouda,Republican,Democrat
66,2.2,28.64,1,[27.27],4,"[0.0, 3.64, 12.73, 25.45]",0,[],0,[],0,[],00049,michellesteel,Harley Rouda,Republican,Democrat
52,1.73,25.19,1,[22.69],0,[],0,[],0,[],0,[],00052,michellesteel,Jay Chen,Republican,Democrat
50,1.67,24.6,1,[22.2],0,[],0,[],0,[],0,[],00053,michellesteel,Jay Chen,Republican,Democrat
78,2.6,23.46,3,"[8.85, 11.92, 22.31]",0,[],0,[],0,[],0,[],00054,sharicedavids,Amanda Adkins,Democrat,Republican
66,2.2,,0,[],0,[],0,[],0,[],0,[],00058,coribush,Anthony Rogers,Democrat,Republican
68,2.27,26.47,1,[25.59],0,[],0,[],0,[],0,[],00059,coribush,Anthony Rogers,Democrat,Republican
77,2.57,15.58,2,"[0.0, 14.81]",0,[],0,[],0,[],0,[],00061,coribush,Anthony Rogers,Democrat,Republican
75,2.5,20.0,0,[],0,[],0,[],0,[],0,[],00063,monicatranel,Ryan Zinke,Democrat,Republican
65,2.17,25.38,0,[],0,[],0,[],0,[],0,[],00064,lauriebuckhout,Don Davis,Republican,Democrat
68,2.27,24.71,2,"[1.32, 24.12]",0,[],0,[],0,[],0,[],00065,lauriebuckhout,Don Davis,Republican,Democrat
61,2.033333333333333,26.885245901639344,1,[25.245901639344265],2,"[0.0, 11.475409836065573]",0,[],1,[3.278688524590164],0,[],00067,lauriebuckhout,Don Davis,Republican,Democrat
67,2.23,23.28,1,[22.39],1,[17.61],0,[],0,[],0,[],00068,lauriebuckhout,Don Davis,Republican,Democrat
79,2.63,27.85,1,[26.58],3,"[8.86, 10.13, 25.32]",0,[],0,[],0,[],00070,yvetteherrell,Gabe Vasquez,Republican,Democrat
66,2.2,26.82,2,"[0.45, 26.36]",0,[],0,[],0,[],0,[],00071,yvetteherrell,Xochitl Torres Small,Republican,Democrat
79,2.63,22.78,4,"[12.66, 15.57, 18.48, 21.52]",1,[5.7],0,[],1,[11.39],0,[],00072,yvetteherrell,Xochitl Torres Small,Republican,Democrat
71,2.37,,3,"[4.23, 11.27, 25.35]",0,[],0,[],0,[],0,[],00073,yvetteherrell,Xochitl Torres Small,Republican,Democrat
82,2.73,23.78,1,[23.41],4,"[2.56, 6.59, 18.29, 20.49]",0,[],0,[],0,[],00074,yvetteherrell,Gabe Vasquez,Republican,Democrat
67,2.23,16.12,3,"[1.34, 15.22, 19.1]",0,[],0,[],0,[],0,[],00075,yvetteherrell,Xochitl Torres Small,Republican,Democrat
84,2.8,27.14,1,[25.71],0,[],0,[],0,[],0,[],00076,yvetteherrell,Xochitl Torres Small,Republican,Democrat
76,2.53,20.4,3,"[2.8, 20.0, 25.9]",0,[],0,[],0,[],0,[],00077,yvetteherrell,Gabe Vasquez,Republican,Democrat
89,2.97,25.39,4,"[11.91, 14.04, 19.55, 24.72]",0,[],0,[],0,[],0,[],00079,dinatitus,Mark Robertson,Democrat,Republican
73,2.433,27.4,3,"[9.86, 13.97, 26.03]",2,"[2.47, 7.4]",0,[],0,[],0,[],00080,dinatitus,Mark Robertson,Democrat,Republican
67,2.233333333333333,25.97014925373134,3,"[3.134328358208955, 17.01492537313433, 25.522388059701495]",0,[],0,[],0,[],2,"[0.4477611940298507, 14.328358208955223]",00081,lauriebuckhout,Don Davis,Republican,Democrat
70,2.33,24.86,3,"[0.43, 24.29, 27.43]",0,[],1,[3.43],0,[],3,"[3.86, 11.14, 17.14]",00082,lisamcclain,Kimberly Bizon,Republican,Democrat
67,2.233,21.79,2,"[0.45, 20.9]",0,[],0,[],0,[],1,[4.03],00083,lisamcclain,Kimberly Bizon,Republican,Democrat
67,2.233,26.87,2,"[0.45, 26.42]",0,[],0,[],0,[],1,[11.94],00084,lisamcclain,Kimberly Bizon,Republican,Democrat
86,2.87,24.42,1,[23.37],0,[],0,[],0,[],0,[],00085,rashidatlaib,James Hooper,Democrat,Republican
84,2.8,27.86,1,[23.57],0,[],0,[],0,[],0,[],00087,rashidatlaib,Steven Elliott,Democrat,Republican
79,2.63,27.34,1,[24.68],0,[],0,[],0,[],0,[],00091,rashidatlaib,Steven Elliott,Democrat,Republican
60,2.0,,3,"[0.0, 23.5, 26.5]",0,[],0,[],0,[],1,[11.0],00092,rashidatlaib,Detroit Janice Winfrey,Democrat,Republican
58,1.93,,0,[],0,[],0,[],0,[],0,[],00093,rashidatlaib,Detroit Janice Winfrey,Democrat,Republican
95,3.17,1.58,1,[0.32],3,"[9.47, 18.95, 22.74]",0,[],0,[],0,[],00094,angiecraig,Joe Teirab,Democrat,Republican
73,2.43,26.03,6,"[2.05, 4.11, 6.85, 20.55, 22.19, 24.66]",0,[],0,[],0,[],0,[],00095,angiecraig,Joe Teirab,Democrat,Republican
73,2.43,1.23,1,[0.41],3,"[9.04, 11.51, 24.66]",0,[],0,[],0,[],00096,angiecraig,Joe Teirab,Democrat,Republican
72,2.4,22.92,1,[0.42],0,[],0,[],0,[],0,[],00098,angiecraig,Joe Teirab,Democrat,Republican
65,2.17,21.69,2,"[0.0, 21.23]",0,[],0,[],0,[],0,[],00101,angiecraig,Joe Teirab,Democrat,Republican
67,2.23,17.91,2,"[1.79, 17.91]",0,[],0,[],0,[],0,[],00103,angiecraig,Joe Teirab,Democrat,Republican
82,2.73,26.83,2,"[21.95, 26.83]",0,[],0,[],0,[],0,[],00105,angiecraig,Joe Teirab,Democrat,Republican
93,3.1,25.81,4,"[13.55, 15.16, 24.52, 25.16]",0,[],0,[],1,[21.94],0,[],00108,angiecraig,Joe Teirab,Democrat,Republican
64,2.13,26.25,3,"[0.0, 9.84, 26.25]",0,[],0,[],0,[],0,[],00113,angiecraig,Joe Teirab,Democrat,Republican
70,2.33,26.14,6,"[2.57, 4.71, 14.57, 18.0, 21.86, 25.71]",0,[],0,[],0,[],4,"[10.29, 11.57, 19.71, 22.71]",00115,michellefischbach,A.J. Peters,Republican,Democrat
77,2.57,22.73,2,"[2.73, 22.34]",0,[],0,[],0,[],0,[],00117,michellefischbach,Jill Abahsain,Republican,Democrat
82,2.73,22.93,2,"[14.63, 21.95]",1,[0.0],0,[],0,[],0,[],00118,michellefischbach,Collin Peterson,Republican,Democrat
74,2.47,27.03,4,"[18.38, 20.54, 24.32, 26.22]",1,[10.81],0,[],0,[],0,[],00119,michellefischbach,Collin Peterson,Republican,Democrat
71,2.37,28.59,6,"[4.23, 8.45, 12.68, 15.49, 21.13, 26.76]",0,[],0,[],0,[],7,"[2.54, 7.04, 11.27, 14.08, 16.9, 22.54, 23.94]",00120,michellefischbach,Collin Peterson,Republican,Democrat
75,2.5,,1,[17.6],0,[],0,[],0,[],1,[19.6],00121,michellefischbach,Collin Peterson,Republican,Democrat
52,1.73,,0,[],1,[5.77],0,[],0,[],1,[0.58],00122,michellefischbach,Collin Peterson,Republican,Democrat
72,2.4,28.33,1,[27.92],3,"[2.92, 5.42, 22.08]",0,[],0,[],0,[],00124,susielee,Drew Johnson,Democrat,Republican
69,2.3,26.09,6,"[4.35, 8.7, 13.04, 17.39, 21.74, 26.09]",0,[],0,[],0,[],0,[],00126,susielee,Drew Johnson,Democrat,Republican
71,2.37,26.76,4,"[9.3, 11.27, 16.9, 26.34]",2,"[1.27, 7.75]",0,[],1,[4.23],0,[],00127,susielee,April Becker,Democrat,Republican
73,2.43,26.03,4,"[7.4, 12.33, 21.78, 25.21]",2,"[1.64, 3.29]",0,[],0,[],0,[],00128,susielee,April Becker,Democrat,Republican
73,2.43,21.23,2,"[2.05, 18.63]",1,[3.29],0,[],0,[],0,[],00129,susielee,April Becker,Democrat,Republican
79,2.63,28.48,3,"[18.99, 21.52, 28.1]",3,"[7.59, 11.39, 16.46]",0,[],0,[],0,[],00130,susielee,April Becker,Democrat,Republican
62,2.07,2.9,1,[0.48],4,"[8.71, 17.42, 21.29, 26.77]",0,[],0,[],0,[],00138,susielee,Dan Rodimer,Democrat,Republican
101,3.37,,4,"[0.0, 7.13, 10.89, 13.86]",0,[],0,[],0,[],0,[],00141,susielee,Dan Rodimer,Democrat,Republican
69,2.3,26.09,5,"[4.35, 8.7, 17.39, 21.74, 25.22]",0,[],0,[],0,[],0,[],00142,susielee,Dan Rodimer,Democrat,Republican
8,0.27,5.625,1,[3.75],0,[],0,[],0,[],0,[],00143,susielee,Dan Rodimer,Democrat,Republican
67,2.23,26.87,1,[26.27],4,"[3.58, 8.96, 14.33, 19.7]",0,[],0,[],0,[],00149,susielee,Dan Rodimer,Democrat,Republican
82,2.73,1.46,1,[0.37],2,"[2.56, 22.68]",0,[],3,"[3.29, 11.59, 23.78]",0,[],00153,elisestefanik,Matt Castelli,Republican,Democrat
72,2.4,22.5,2,"[0.4166666666666667, 22.08333333333333]",0,[],0,[],0,[],0,[],00154,elisestefanik,Matt Castelli,Republican,Democrat
63,2.1,26.67,2,"[13.81, 26.19]",0,[],0,[],2,"[1.43, 3.33]",0,[],00155,elisestefanik,Matt Castelli,Republican,Democrat
74,2.47,2.03,1,[0.81],4,"[6.08, 10.41, 17.84, 26.22]",0,[],0,[],0,[],00156,elisestefanik,Tedra Cobb,Republican,Democrat
79,2.63,24.05,1,[22.66],0,[],0,[],0,[],3,"[3.04, 12.15, 16.46]",00158,elisestefanik,Tedra Cobb,Republican,Democrat
11,0.37,7.27,1,[2.73],0,[],0,[],0,[],0,[],00159,elisestefanik,Tedra Cobb,Republican,Democrat
61,2.03,27.87,3,"[1.97, 23.11, 26.89]",0,[],0,[],0,[],1,[0.98],00161,elisestefanik,Tedra Cobb,Republican,Democrat
71,2.37,25.35,1,[23.94],0,[],0,[],0,[],0,[],00162,elisestefanik,Tedra Cobb,Republican,Democrat
81,2.7,3.33,1,[1.11],4,"[9.63, 13.33, 24.44, 28.89]",0,[],0,[],0,[],00163,elisestefanik,Tedra Cobb,Republican,Democrat
67,2.23,24.33,1,[23.88],2,"[0.45, 4.48]",0,[],0,[],0,[],00166,elisestefanik,Tedra Cobb,Republican,Democrat
70,2.33,25.71,2,"[22.29, 24.0]",0,[],0,[],0,[],0,[],00167,elisestefanik,Tedra Cobb,Republican,Democrat
111,3.7,26.76,3,"[18.92, 24.32, 26.76]",0,[],0,[],0,[],0,[],00168,elisestefanik,Tedra Cobb,Republican,Democrat
82,2.73,23.29,4,"[14.63, 18.29, 20.49, 23.29]",2,"[0.37, 4.39]",0,[],0,[],0,[],00169,elisestefanik,Tedra Cobb,Republican,Democrat
73,2.43,26.03,3,"[15.62, 18.49, 24.66]",1,[2.05],0,[],0,[],0,[],00170,elisestefanik,Tedra Cobb,Republican,Democrat
51,1.7,,3,"[3.53, 20.59, 26.47]",0,[],0,[],0,[],0,[],00171,elisestefanik,Tedra Cobb,Republican,Democrat
67,2.23,,3,"[2.69, 32.84, 29.85]",3,"[4.48, 8.96, 20.9]",0,[],0,[],1,[14.93],00172,elisestefanik,Tedra Cobb,Republican,Democrat
66,2.2,,3,"[18.18, 22.73, 26.82]",1,[2.73],0,[],0,[],0,[],00175,elisestefanik,Tedra Cobb,Republican,Democrat
67,2.23,,2,"[1.34, 26.87]",0,[],0,[],0,[],0,[],00176,elisestefanik,Tedra Cobb,Republican,Democrat
81,2.7,20.37,2,"[4.07, 18.52]",0,[],0,[],0,[],0,[],00178,elisestefanik,Tedra Cobb,Republican,Democrat
72,2.4,16.25,2,"[0.42, 15.42]",0,[],0,[],0,[],0,[],00179,elisestefanik,Tedra Cobb,Republican,Democrat
78,2.6,23.46,2,"[16.92, 22.31]",4,"[0.77, 8.08, 14.23, 15.77]",0,[],0,[],0,[],00180,elisestefanik,Tedra Cobb,Republican,Democrat
78,2.6,21.54,3,"[17.31, 19.62, 21.15]",3,"[0.0, 4.23, 16.15]",0,[],0,[],0,[],00181,elisestefanik,Tedra Cobb,Republican,Democrat
77,2.57,23.38,1,[22.73],0,[],0,[],0,[],0,[],00182,elisestefanik,Mike Derrick,Republican,Democrat
76,2.53,20.79,2,"[3.95, 20.0]",0,[],0,[],0,[],0,[],00183,elisestefanik,Mike Derrick,Republican,Democrat
88,2.93,24.66,2,"[0.68, 24.32]",0,[],0,[],0,[],0,[],00184,elisestefanik,Mike Derrick,Republican,Democrat
78,2.6,23.08,4,"[15.38, 17.69, 20.77, 22.31]",1,[7.31],0,[],0,[],0,[],00185,elisestefanik,Mike Derrick,Republican,Democrat
71,2.37,28.17,3,"[14.79, 21.55, 26.34]",2,"[2.96, 16.62]",1,[8.45],1,[9.3],0,[],00186,elisestefanik,Mike Derrick,Republican,Democrat
65,2.17,26.31,2,"[1.85, 26.77]",0,[],0,[],0,[],0,[],00187,elisestefanik,Mike Derrick,Republican,Democrat
73,2.433,26.3,1,[26.03],0,[],0,[],0,[],0,[],00188,elisestefanik,Mike Derrick,Republican,Democrat
79,2.63,22.78,2,"[0.38, 22.03]",0,[],0,[],0,[],0,[],00190,elisestefanik,Aaron Woolf,Republican,Democrat
82,2.73,21.95,2,"[0.73, 21.95]",0,[],0,[],0,[],0,[],00191,elisestefanik,Aaron Woolf,Republican,Democrat
78,2.6,23.08,1,[22.31],0,[],0,[],0,[],0,[],00193,elisestefanik,Aaron Woolf,Republican,Democrat
87,2.9,4.14,1,[1.03],0,[],0,[],0,[],0,[],00194,elisestefanik,Aaron Woolf,Republican,Democrat
72,2.4,25.83,2,"[0.42, 24.58]",0,[],0,[],0,[],0,[],00196,elisestefanik,Aaron Woolf,Republican,Democrat
74,2.47,22.84,2,"[0.41, 22.43]",0,[],0,[],0,[],0,[],00198,elisestefanik,Aaron Woolf,Republican,Democrat
88,2.93,22.95,3,"[3.75, 16.59, 22.61]",0,[],0,[],0,[],0,[],00200,elisestefanik,Aaron Woolf,Republican,Democrat
69,2.3,26.09,5,"[1.74, 3.48, 17.39, 22.61, 26.09]",2,"[0.0, 20.87]",0,[],0,[],0,[],00205,marcykaptur,Derek Merrin,Democrat,Republican
70,2.33,25.71,5,"[4.29, 14.57, 17.57, 20.14, 25.29]",2,"[12.86, 17.14]",0,[],0,[],1,[6.43],00206,marcykaptur,Derek Merrin,Democrat,Republican
78,2.6,25.77,1,[24.23],2,"[14.23, 20.38]",0,[],0,[],0,[],00208,marcykaptur,Derek Merrin,Democrat,Republican
71,2.37,25.63,4,"[0.0, 19.72, 22.25, 24.51]",0,[],0,[],1,[4.23],2,"[8.45, 8.45]",00209,marcykaptur,Derek Merrin,Democrat,Republican
86,2.87,20.35,1,[19.77],0,[],0,[],0,[],0,[],00210,marcykaptur,Derek Merrin,Democrat,Republican
72,2.4,27.5,2,"[24.58, 25.83]",0,[],0,[],0,[],0,[],00211,marcykaptur,Derek Merrin,Democrat,Republican
66,2.2,28.18,2,"[4.09, 27.27]",0,[],0,[],0,[],0,[],00212,marcykaptur,Derek Merrin,Democrat,Republican
73,2.43,22.19,1,[21.78],0,[],0,[],0,[],0,[],00213,marcykaptur,Derek Merrin,Democrat,Republican
70,2.33,17.57,1,[16.29],0,[],0,[],0,[],0,[],00215,marcykaptur,Derek Merrin,Democrat,Republican
90,3.0,25.33,1,[25.0],0,[],0,[],0,[],0,[],00216,marcykaptur,J.R. Majewski,Democrat,Republican
70,2.33,25.71,1,[25.29],3,"[7.71, 17.57, 22.29]",0,[],0,[],0,[],00217,marcykaptur,J.R. Majewski,Democrat,Republican
67,2.233,26.87,6,"[3.58, 11.94, 16.42, 20.9, 22.39, 25.37]",2,"[13.43, 17.91]",0,[],1,[8.96],0,[],00218,marcykaptur,J.R. Majewski,Democrat,Republican
70,2.33,24.86,1,[24.0],4,"[6.86, 9.43, 12.86, 13.71]",0,[],0,[],0,[],00219,marcykaptur,J.R. Majewski,Democrat,Republican
66,2.2,28.64,3,"[4.09, 24.55, 27.27]",1,[10.91],0,[],0,[],0,[],00220,marcykaptur,J.R. Majewski,Democrat,Republican
70,2.33,27.86,1,[27.43],3,"[0.0, 12.86, 22.29]",0,[],0,[],0,[],00221,marcykaptur,J.R. Majewski,Democrat,Republican
60,2.0,28.5,2,"[26.5, 27.5]",3,"[0.5, 4.0, 13.0]",0,[],0,[],0,[],00222,marcykaptur,J.R. Majewski,Democrat,Republican
85,2.83,24.71,5,"[3.18, 12.71, 17.65, 22.59, 24.0]",0,[],0,[],0,[],0,[],00223,marcykaptur,J.R. Majewski,Democrat,Republican
77,2.57,,3,"[15.58, 21.95, 26.49]",1,[0.78],0,[],0,[],0,[],00224,marcykaptur,J.R. Majewski,Democrat,Republican
72,2.4,20.83,1,[20.0],0,[],0,[],0,[],0,[],00226,jenkiggans,Missy Cotter Smasal,Republican,Democrat
74,2.47,26.76,3,"[6.08, 20.27, 26.22]",0,[],0,[],0,[],0,[],00227,jenkiggans,Missy Cotter Smasal,Republican,Democrat
68,2.27,26.47,0,[],0,[],0,[],0,[],0,[],00228,jenkiggans,Missy Cotter Smasal,Republican,Democrat
70,2.33,18.86,1,[17.57],0,[],0,[],0,[],0,[],00229,jenkiggans,Missy Cotter Smasal,Republican,Democrat
66,2.2,24.09,1,[22.73],0,[],0,[],0,[],0,[],00230,jenkiggans,Missy Cotter Smasal,Republican,Democrat
70,2.33,17.57,0,[],0,[],0,[],0,[],0,[],00231,jenkiggans,Missy Cotter Smasal,Republican,Democrat
72,2.4,23.33,3,"[9.58, 19.17, 23.33]",0,[],0,[],0,[],0,[],00233,stephaniebice,Kendra Horn,Republican,Democrat
77,2.57,28.57,5,"[3.9, 19.48, 20.78, 24.68, 27.27]",0,[],0,[],0,[],5,"[2.34, 5.84, 7.79, 16.62, 21.17]",00234,stephaniebice,Kendra Horn,Republican,Democrat
79,2.63,27.59,0,[],0,[],0,[],0,[],1,[9.49],00235,stephaniebice,Kendra Horn,Republican,Democrat
73,2.433,,0,[],0,[],0,[],0,[],0,[],00236,lorichavezderemer,Janelle Bynum,Republican,Democrat
83,2.77,28.92,1,[27.71],0,[],0,[],0,[],0,[],00237,lorichavezderemer,Janelle Bynum,Republican,Democrat
65,2.17,27.69,3,"[13.85, 19.38, 26.31]",1,[0.92],0,[],0,[],0,[],00238,lorichavezderemer,Jamie McLeod-Skinner,Republican,Democrat
78,2.6,25.38,1,[24.62],0,[],0,[],0,[],0,[],00239,lorichavezderemer,Jamie McLeod-Skinner,Republican,Democrat
73,2.43,27.4,2,"[19.18, 27.4]",0,[],0,[],0,[],0,[],00240,lorichavezderemer,Jamie McLeod-Skinner,Republican,Democrat
88,2.93,27.27,3,"[6.82, 13.64, 27.27]",0,[],0,[],0,[],0,[],00241,lorichavezderemer,Jamie McLeod-Skinner,Republican,Democrat
66,2.2,28.18,6,"[3.64, 5.45, 7.73, 14.55, 16.36, 26.82]",0,[],0,[],0,[],0,[],00242,madeleinedean,Dan David,Democrat,Republican
73,2.43,26.85,2,"[4.11, 26.03]",0,[],0,[],0,[],0,[],00243,chrissyhoulahan,Guy Ciarrocchi,Democrat,Republican
75,2.5,25.6,1,[7.2],0,[],0,[],0,[],0,[],00244,chrissyhoulahan,Guy Ciarrocchi,Democrat,Republican
80,2.67,20.25,1,[19.88],0,[],0,[],0,[],0,[],00245,chrissyhoulahan,Guy Ciarrocchi,Democrat,Republican
76,2.53,28.42,1,[23.68],0,[],0,[],0,[],0,[],00246,veronicaescobar,Rick Seeberger,Democrat,Republican
72,2.4,26.25,1,[22.5],0,[],0,[],0,[],1,[17.08],00247,veronicaescobar,Rick Seeberger,Democrat,Republican
75,2.5,22.8,3,"[1.6, 20.8, 22.0]",0,[],0,[],0,[],0,[],00248,jasminecrockett,James Rodgers,Democrat,Republican
76,2.53,22.37,3,"[8.95, 16.84, 22.37]",0,[],0,[],1,[3.95],0,[],00253,dorismatsui,,Democrat,Republican
80,2.67,26.25,1,[25.5],0,[],0,[],0,[],0,[],00255,dorismatsui,,Democrat,Republican
79,2.63,24.05,2,"[2.28, 23.67]",0,[],0,[],0,[],0,[],00256,dorismatsui,,Democrat,Republican
65,2.17,28.62,4,"[2.31, 6.46, 20.77, 28.15]",0,[],0,[],0,[],0,[],00257,dorismatsui,,Democrat,Republican
85,2.83,21.18,3,"[8.47, 11.29, 12.35]",0,[],0,[],0,[],0,[],00258,marypeltola,Nick Begich,Democrat,Republican
104,3.47,,2,"[4.33, 20.19]",0,[],1,[19.62],0,[],0,[],00260,marypeltola,Nick Begich,Democrat,Republican
89,2.97,,2,"[14.61, 25.84]",0,[],0,[],0,[],0,[],00261,marypeltola,Nick Begich,Democrat,Republican
110,3.67,,4,"[4.64, 11.45, 19.09, 20.45]",0,[],0,[],1,[0.82],0,[],00262,marypeltola,Nick Begich,Democrat,Republican
80,2.67,26.25,4,"[8.62, 11.25, 20.62, 26.25]",0,[],0,[],0,[],0,[],00263,marypeltola,Nick Begich,Democrat,Republican
65,2.17,27.69,3,"[9.23, 20.77, 27.69]",0,[],0,[],0,[],0,[],00264,marypeltola,Nick Begich,Democrat,Republican
74,2.47,28.38,3,"[5.68, 8.92, 28.38]",0,[],0,[],1,[21.62],0,[],00265,marypeltola,Nick Begich,Democrat,Republican
77,2.57,19.48,2,"[7.79, 19.09]",0,[],0,[],0,[],0,[],00266,marypeltola,Nick Begich,Democrat,Republican
78,2.6,25.77,0,[],0,[],0,[],0,[],0,[],00267,marypeltola,Nick Begich,Democrat,Republican
91,3.033,24.18,1,[4.29],0,[],0,[],0,[],0,[],00268,marypeltola,Nick Begich,Democrat,Republican
72,2.4,25.0,2,"[0.42, 29.17]",0,[],0,[],0,[],0,[],00269,marypeltola,Nick Begich,Democrat,Republican
76,2.53,25.0,1,[0.79],0,[],0,[],0,[],0,[],00270,marypeltola,Nick Begich,Democrat,Republican
79,2.63,1.14,5,"[0.38, 3.42, 17.72, 21.52, 22.78]",0,[],0,[],0,[],0,[],00271,marypeltola,Nick Begich,Democrat,Republican
75,2.5,23.2,1,[22.4],2,"[7.2, 19.2]",0,[],0,[],0,[],00272,marypeltola,Nick Begich,Democrat,Republican
87,2.9,23.22,4,"[3.79, 5.17, 18.28, 22.41]",0,[],0,[],0,[],0,[],00273,marypeltola,Nick Begich,Democrat,Republican
70,2.33,,0,[],0,[],0,[],0,[],0,[],00274,marypeltola,Nick Begich,Democrat,Republican
73,2.43,25.27,1,[24.66],1,[11.78],0,[],0,[],0,[],00275,marypeltola,Nick Begich,Democrat,Republican
62,2.07,17.74,2,"[5.81, 16.77]",0,[],0,[],0,[],0,[],00277,marypeltola,Nick Begich,Democrat,Republican
75,2.5,,0,[],0,[],0,[],0,[],0,[],00278,marypeltola,Nick Begich,Democrat,Republican
60,2.0,24.0,2,"[8.5, 23.5]",0,[],0,[],0,[],0,[],00279,marypeltola,Nick Begich,Democrat,Republican
77,2.57,,3,"[13.64, 19.22, 23.38]",0,[],0,[],0,[],0,[],00280,marypeltola,Nick Begich,Democrat,Republican
65,2.17,27.69,4,"[0.92, 12.31, 22.15, 26.77]",0,[],0,[],0,[],0,[],00281,marypeltola,Nick Begich,Democrat,Republican
79,2.63,,0,[],0,[],0,[],0,[],0,[],00284,nancymace,Michael Moore,Republican,Democrat
81,2.7,28.89,2,"[15.93, 28.15]",0,[],0,[],0,[],0,[],00285,nancymace,Michael Moore,Republican,Democrat
74,2.47,28.38,1,[27.03],2,"[9.73, 24.32]",0,[],1,[0.41],0,[],00286,nancymace,Annie Andrews,Republican,Democrat
